ClusterID,Machine,ClusterStart,ClusterEnd,RunSec,CycleCount
300,21 DOOSAN PUMA700,2026-01-05 05:49:34+00:00,2026-01-05 07:06:47+00:00,3139,10
522,23 DOOSAN PUMA 700,2026-01-05 05:50:05+00:00,2026-01-05 06:21:01+00:00,1368,7
1136,66 DMU NLX 2500,2026-01-05 05:55:11+00:00,2026-01-05 06:06:35+00:00,484,7
846,41 DMU NLX2500,2026-01-05 06:16:14+00:00,2026-01-05 06:46:27+00:00,1758,2
20,102 HAAS VF4,2026-01-05 06:29:35+00:00,2026-01-05 09:29:42+00:00,9620,4
523,23 DOOSAN PUMA 700,2026-01-05 06:31:52+00:00,2026-01-05 08:11:20+00:00,3820,22
138,103 HAAS VF4,2026-01-05 06:35:52+00:00,2026-01-05 07:53:10+00:00,2901,42
402,22 DMU NLX 2500 old,2026-01-05 06:38:07+00:00,2026-01-05 06:46:21+00:00,484,2
847,41 DMU NLX2500,2026-01-05 06:59:10+00:00,2026-01-05 09:54:32+00:00,8022,12
1139,66 DMU NLX 2500,2026-01-05 07:01:20+00:00,2026-01-05 08:12:07+00:00,1936,8
403,22 DMU NLX 2500 old,2026-01-05 07:01:43+00:00,2026-01-05 07:54:39+00:00,2575,3
1001,65 DMU NLX 2500,2026-01-05 07:19:16+00:00,2026-01-05 09:36:16+00:00,4613,25
727,24 DOOSAN PUMA 3100L,2026-01-05 07:58:56+00:00,2026-01-05 09:31:10+00:00,4267,4
404,22 DMU NLX 2500 old,2026-01-05 08:20:56+00:00,2026-01-05 09:20:53+00:00,3061,5
524,23 DOOSAN PUMA 700,2026-01-05 08:24:21+00:00,2026-01-05 09:42:42+00:00,3032,17
1140,66 DMU NLX 2500,2026-01-05 08:32:25+00:00,2026-01-05 09:26:19+00:00,1451,6
301,21 DOOSAN PUMA700,2026-01-05 09:24:03+00:00,2026-01-05 11:49:58+00:00,7424,13
405,22 DMU NLX 2500 old,2026-01-05 09:34:25+00:00,2026-01-05 10:45:09+00:00,3061,5
21,102 HAAS VF4,2026-01-05 09:41:04+00:00,2026-01-05 10:36:18+00:00,3314,1
525,23 DOOSAN PUMA 700,2026-01-05 10:33:19+00:00,2026-01-05 11:22:54+00:00,1895,11
1143,66 DMU NLX 2500,2026-01-05 10:33:47+00:00,2026-01-05 11:22:30+00:00,1507,6
1003,65 DMU NLX 2500,2026-01-05 10:33:54+00:00,2026-01-05 11:25:03+00:00,1943,10
