Export Title: My Timeline
Export Date: 2026-01-15T08:58:43.126Z

Machine,Port ID,Start,End,State,Machine,Duration,Operator
102 HAAS VF4,1,1767590746,1767593881,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767593881,1767594575,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767594575,1767597713,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767597713,1767598084,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767598084,1767598280,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767598280,1767598586,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767598586,1767601727,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767601727,1767602237,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767602237,1767605382,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767605382,1767606064,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767606064,1767609378,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767609378,1767610802,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767610802,1767614096,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767614096,1767614809,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767614809,1767618119,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767618119,1767618543,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767618543,1767621844,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767621844,1767623812,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767623812,1767627107,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767627107,1767629321,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767629321,1767632638,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767632638,1767634205,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767634205,1767637506,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767637506,1767640048,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767640048,1767643352,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767643352,1767643983,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767643983,1767647296,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767647296,1767648070,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767648070,1767650400,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767650400,1767651387,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767651387,1767652079,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767652079,1767655401,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767655401,1767657803,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767657803,1767657832,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767657832,1767657869,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767657869,1767657878,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767657878,1767657881,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767657881,1767658078,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767658078,1767658232,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767658232,1767658430,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767658430,1767658753,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767658753,1767662051,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767662051,1767662640,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767662640,1767665955,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767665955,1767674996,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767674996,1767676935,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767676935,1767676963,Cycle,102 HAAS VF4,0,John Doe
